text,author,tag
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>",love
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>",fantasy
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","life, navigation"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","activism, apathy, hate, indifference, inspirational, love, opposite, philosophy"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","books, contentment, friends, friendship, life"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","fate, life, misattributed-john-lennon, planning, plans"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>","love, poetry"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>",happiness
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>",attributed-no-source
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>","humor, religion"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>",humor
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>","comedy, life, yourself"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>","children, fairy-tales"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>",
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>",imagination
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Pablo Neruda</small>>",music
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>","learning, reading, seuss"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>",dumbledore
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>",friendship
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>","misattributed-to-mother-teresa, paraphrased"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>","death, inspirational"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>","chocolate, food, humor"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>","misattributed-to-c-s-lewis, reading"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>","knowledge, learning, understanding, wisdom"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>","books, library"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Dr. Seuss</small>>",inspirational
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>","read, readers, reading, reading-books"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>","books, inspirational, reading, tea"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>",
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>","girls, love"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>","life, simile"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>",love
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>",attributed-no-source
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>","hope, inspirational"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>",dumbledore
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">George R.R. Martin</small>>",love
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Jane Austen</small>>","friendship, love"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Jane Austen</small>>","attributed, fear, inspiration"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Jane Austen</small>>",attributed-no-source
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Jane Austen</small>>",music
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Jane Austen</small>>","books, thought"
