text,author,tag
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“Anyone who has never made a mistake has never tried anything new.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","elizabeth-bennet, jane-austen"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“Anyone who has never made a mistake has never tried anything new.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","age, fairytales, growing-up"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“Anyone who has never made a mistake has never tried anything new.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>",god
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“Anyone who has never made a mistake has never tried anything new.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","death, life"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“Anyone who has never made a mistake has never tried anything new.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","misattributed-mark-twain, truth"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“Anyone who has never made a mistake has never tried anything new.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","christianity, faith, religion, sun"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>",truth
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>","death, life"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>","adventure, love"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>",courage
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>",life
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>",better-life-empathy
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>","books, children, difficult, grown-ups, write, writers, writing"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>",truth
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>",inspirational
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">J.K. Rowling</small>>","books, mind"
